Week Ending (Sunday);Brand;"Sub brand/ Variant 
(if applicable)";Website;Campaign Name;Creative;Copy Name;Ads Type;"Ads Format 
(Video Skippable/ Non-skippable/ Bumper Ads)";"Duration 
(for Video)";"Platform
(PC/ Mobile)";Thematical/ Tactical?;SCJ Sub 2 or New launch?;Buying Type (Auction, Programmatic, etc);Views;Clicks;Impressions (Modelled);"Actual Spending 
(please specify currency)";Spend in USD
29/12/2019;Raid;;Youtube;015722 | SCJACC | SC JOHNSON | RAID 2020 | 01-JAN-19 | 29-FEB-20;-;-;Gogle preferred;Non-Skippable;15;PC/Mobile;Tactical;SCJ Sub 2;Programmatic Guaranteed ;305383;323;305,383;8,115;$5,987 
5/1/2020;Raid;;Youtube;015722 | SCJACC | SC JOHNSON | RAID 2020 | 01-JAN-19 | 29-FEB-20;-;-;Gogle preferred;Non-Skippable;15;PC/Mobile;Tactical;SCJ Sub 2;Programmatic Guaranteed ;526232;522;526,232;13,984;$10,317 
12/1/2020;Raid;;Youtube;015722 | SCJACC | SC JOHNSON | RAID 2020 | 01-JAN-19 | 29-FEB-20;-;-;Gogle preferred;Non-Skippable;15;PC/Mobile;Tactical;SCJ Sub 2;Programmatic Guaranteed ;523662;557;523,662;13,916;$10,267 
19/1/2020;Raid;;Youtube;015722 | SCJACC | SC JOHNSON | RAID 2020 | 01-JAN-19 | 29-FEB-20;-;-;Gogle preferred;Non-Skippable;15;PC/Mobile;Tactical;SCJ Sub 2;Programmatic Guaranteed ;519886;542;519,886;13,815;$10,193 
26/1/2020;Raid;;Youtube;015722 | SCJACC | SC JOHNSON | RAID 2020 | 01-JAN-19 | 29-FEB-20;-;-;Gogle preferred;Non-Skippable;15;PC/Mobile;Tactical;SCJ Sub 2;Programmatic Guaranteed ;515147;509;515,147;13,690;$10,100 
2/2/2020;Raid;;Youtube;015722 | SCJACC | SC JOHNSON | RAID 2020 | 01-JAN-19 | 29-FEB-20;-;-;Gogle preferred;Non-Skippable;15;PC/Mobile;Tactical;SCJ Sub 2;Programmatic Guaranteed ;511040;502;511,040;13,580;$10,020 
9/2/2020;Raid;;Youtube;015722 | SCJACC | SC JOHNSON | RAID 2020 | 01-JAN-19 | 29-FEB-20;-;-;Gogle preferred;Non-Skippable;15;PC/Mobile;Tactical;SCJ Sub 2;Programmatic Guaranteed ;496838;496;496,838;13,203;$9,741 
16/2/2020;Raid;;Youtube;015722 | SCJACC | SC JOHNSON | RAID 2020 | 01-JAN-19 | 29-FEB-20;-;-;Gogle preferred;Non-Skippable;15;PC/Mobile;Tactical;SCJ Sub 2;Programmatic Guaranteed ;489284;480;489,284;13,002;$9,593 
23/2/2020;Raid;;Youtube;015722 | SCJACC | SC JOHNSON | RAID 2020 | 01-JAN-19 | 29-FEB-20;-;-;Gogle preferred;Non-Skippable;15;PC/Mobile;Tactical;SCJ Sub 2;Programmatic Guaranteed ;364803.91;476;364,804;9,694;$7,152 
15/11/2020;Raid;;Youtube;SC Johnson_Asia_Australia_Raid_Aerosol_Multi-Demand Territory_FY 2021_Q2_Awareness_Programmatic_OND-Raid-OLV_English_None_IO TBC;-;-;Trueview;Non-Skippable;15;PC/Mobile;Tactical;SCJ Sub 2;Auction;50897;10;50,897;969;$673 
